t,p,v,a,theta
24.5221868479637,0.0895977797917405,-0.0716495208239965,0.0295502716825395,581.716113512742
24.5250731706147,0.0893910133549304,-0.0716748343084329,0.00400997465858795,581.774001623905
24.5285777224807,0.0891398022723788,-0.0717457959207017,0.0134025977936083,581.844277628677
24.5325455139469,0.0888551807837985,-0.0718813275490942,0.0794617738913478,581.923827390004
24.5361565409323,0.088595922066445,-0.0720147762563568,0.149911009362892,581.996221570812
24.539081337901,0.0883856234312424,-0.0719805967452079,0.0648955844892188,582.054897822936
24.5417987468837,0.0881901278101611,-0.0719733615493253,0.0105519914002498,582.109406627735
24.5449668193347,0.0879621061565146,-0.0720219000642675,0.00431340548733384,582.172939400037
24.548806831931,0.0876855301953494,-0.0721214811101059,0.0377165551025304,582.2499359049
24.5527149306593,0.0874038570872088,-0.0722899522902249,0.139076920042669,582.328278893696
24.5559474020123,0.087170577631387,-0.0723254484879121,0.119281520531574,582.393106881697
24.558660469248,0.086974570509029,-0.0722812530506466,0.028830993460102,582.447538595602
24.561527286659,0.0867673893011524,-0.0723044526746847,0.0032744747293443,582.505035499161
24.5650626527958,0.0865117425438646,-0.0723748344543878,0.0137128944094849,582.575929171276
24.5690835675007,0.0862207898759298,-0.0725166561409223,0.087603383211,582.65654223146
24.5719699001997,0.0860116574308478,-0.0725086492413484,0.0310261163540624,582.714439067547
24.5748562328987,0.085802415528218,-0.0725311984638972,0.00514031251503349,582.772327390806
24.5783607894784,0.085548209229121,-0.0725993441401575,0.0146590712998576,582.842603486111
24.5823285817877,0.0852602101258402,-0.0727324222044025,0.081602471333688,582.922153236394
24.5859396135524,0.0849978888461888,-0.0728637647015286,0.152988857900544,582.994547482946
24.5888644201164,0.0847851153960458,-0.0728259809876411,0.0668364155616401,583.053223963315
24.591581838098,0.084587327236409,-0.0728157255565196,0.0117682399292107,583.107732971839
24.5947499154262,0.0843566418911287,-0.0728614999322934,0.00544642820379047,583.171265844628
24.5985899301816,0.0840768494814097,-0.0729582664750846,0.0392905777214413,583.248262378234
24.6024980333521,0.0837919164527773,-0.0731247500531259,0.141983416073996,583.326605411679
24.60573051325,0.0835559487319897,-0.0731572325551552,0.121923748504959,583.391433579168
24.6084435883633,0.0833576911488667,-0.0731095383765221,0.0302844574371554,583.445865490877
24.6113104095586,0.0831481400112316,-0.0731299578272944,0.00439272219730149,583.503362481692
24.6148457773869,0.0828895810721619,-0.0731974551085377,0.0149667896662012,583.574256183069
24.6188666964035,0.0825953298722871,-0.0733367932500061,0.0898153469916255,583.654869296477
24.6217530371345,0.0823838363928523,-0.073325578377482,0.0325031105254745,583.712766318892
24.6246393778655,0.0821722409957024,-0.0733453156377228,0.00628196469873191,583.770654814896
24.6281439374717,0.0819151877413455,-0.0734105715185874,0.0159229539517272,583.84093096652
24.6321117300671,0.0816239790633288,-0.0735410904655973,0.0837238431730921,583.920480691848
24.635722766484,0.0813587483850463,-0.0736702271063231,0.156019088706216,583.992874998603
24.6386475817255,0.0811436244734511,-0.0736288158677446,0.0687637831831012,584.051551692369
24.6413650069374,0.0809436595192821,-0.0736155087440621,0.0129927896288316,584.106060871444
24.6445330872072,0.0807104455810359,-0.0736584595546145,0.00659013102351351,584.169593806182
24.6483731036679,0.0804276005877805,-0.0737523233396537,0.040861564307513,584.246590358077
24.6522812126759,0.080139574534958,-0.0739167028629031,0.144845861042727,584.324933459899
24.6555137018091,0.0799010568838461,-0.0739461178415387,0.124530148336274,584.389761821468
24.6582267837382,0.0797006652509188,-0.0738949094343572,0.0317384597472235,584.44419391351
24.66109360661,0.079488867396143,-0.0739125043152957,0.00552171312955869,584.501690950401
24.6646289745888,0.0792275483462641,-0.0739770456420335,0.0162269822112648,584.572584649735
24.6686498991811,0.0789301716062376,-0.0741137941066812,0.0920032398484109,584.65319783871
